1
4.384803 , 
4.366987 , 
4.403945 , 
4.429015 , 
4.372465 , 
4.349213 , 
4.377225 , 
4.353098 , 
4.350183 , 
4.343489 , 
2
2.266426 , 
2.210691 , 
2.209376 , 
2.197255 , 
2.194981 , 
2.215927 , 
2.231786 , 
2.220323 , 
2.285557 , 
2.534414 , 
4
1.440820 , 
1.391890 , 
1.280009 , 
1.252544 , 
1.149346 , 
1.152324 , 
1.122548 , 
1.104185 , 
1.131360 , 
1.259907 , 
8
0.837838 , 
0.813275 , 
0.818793 , 
0.829022 , 
0.831921 , 
0.813093 , 
0.805397 , 
0.816282 , 
0.808364 , 
0.810374 , 
16
0.694268 , 
0.670758 , 
0.680053 , 
0.673305 , 
0.771338 , 
0.771773 , 
0.719749 , 
0.732225 , 
0.677423 , 
0.698399 , 
